Repeat, dataset, non-iid-strategy, normalize, sample_size, B, C, E, beta1, beta2, eta, max_rounds, mu, name, opt_name, sparsity, tau, embedding_dim, hidden_units, loss, metrics, name, lr, enable_gpu, num_containers, num_gpu, central_train$$test_accuracy, best_metric$$test_binary_accuracy, total_time, total_rounds, server_send, server_receive, time_detail
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.03, True, 20, 2, 0.98900(0.00000), 0.88633(0.00000), 2.58333(0.00000), 1.00000(0.00000), 0.25461(0.00000), 0.34664(0.00000), 0.00827(0.00000), 30.35599(0.00000), 0.14553(0.00000), 0.00556(0.00000), 0.01060(0.00000), 0.18660(0.00000), 0.01925(0.00000), 0.00047(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.05, True, 20, 2, 0.98983(0.00000), 0.89017(0.00000), 2.56667(0.00000), 1.00000(0.00000), 0.25467(0.00000), 0.34662(0.00000), 0.00910(0.00000), 30.16056(0.00000), 0.12672(0.00000), 0.00622(0.00000), 0.00854(0.00000), 0.17681(0.00000), 0.02707(0.00000), 0.00063(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.07, True, 20, 2, 0.98767(0.00000), 0.89667(0.00000), 2.56667(0.00000), 1.00000(0.00000), 0.25463(0.00000), 0.34661(0.00000), 0.00953(0.00000), 30.16287(0.00000), 0.14063(0.00000), 0.00620(0.00000), 0.00846(0.00000), 0.19020(0.00000), 0.01275(0.00000), 0.00046(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.09, True, 20, 2, 0.98900(0.00000), 0.90000(0.00000), 2.55000(0.00000), 1.00000(0.00000), 0.25461(0.00000), 0.34661(0.00000), 0.00979(0.00000), 30.00807(0.00000), 0.14345(0.00000), 0.00624(0.00000), 0.00854(0.00000), 0.19141(0.00000), 0.01391(0.00000), 0.00062(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.1, True, 20, 2, 0.98983(0.00000), 0.89350(0.00000), 2.55000(0.00000), 1.00000(0.00000), 0.25463(0.00000), 0.34663(0.00000), 0.00915(0.00000), 30.14752(0.00000), 0.13347(0.00000), 0.00611(0.00000), 0.00864(0.00000), 0.19895(0.00000), 0.01126(0.00000), 0.00088(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.3, True, 20, 2, 0.99000(0.00000), 0.90083(0.00000), 2.56667(0.00000), 1.00000(0.00000), 0.25460(0.00000), 0.34663(0.00000), 0.01148(0.00000), 30.05582(0.00000), 0.14836(0.00000), 0.00561(0.00000), 0.00852(0.00000), 0.18052(0.00000), 0.01835(0.00000), 0.00048(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.5, True, 20, 2, 0.99050(0.00000), 0.90217(0.00000), 2.56667(0.00000), 1.00000(0.00000), 0.25457(0.00000), 0.34661(0.00000), 0.01389(0.00000), 30.08194(0.00000), 0.14985(0.00000), 0.00572(0.00000), 0.01074(0.00000), 0.18939(0.00000), 0.01424(0.00000), 0.00047(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.7, True, 20, 2, 0.98817(0.00000), 0.90033(0.00000), 2.56667(0.00000), 1.00000(0.00000), 0.25464(0.00000), 0.34665(0.00000), 0.00917(0.00000), 30.15413(0.00000), 0.13721(0.00000), 0.00576(0.00000), 0.01046(0.00000), 0.18800(0.00000), 0.01150(0.00000), 0.00047(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.9, True, 20, 2, 0.98817(0.00000), 0.91000(0.00000), 2.55000(0.00000), 1.00000(0.00000), 0.25458(0.00000), 0.34659(0.00000), 0.01019(0.00000), 30.05987(0.00000), 0.14699(0.00000), 0.00771(0.00000), 0.00697(0.00000), 0.19435(0.00000), 0.01380(0.00000), 0.00047(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 1.0, True, 20, 2, 0.98817(0.00000), 0.90917(0.00000), 2.56667(0.00000), 1.00000(0.00000), 0.25458(0.00000), 0.34664(0.00000), 0.04132(0.00000), 30.00199(0.00000), 0.13911(0.00000), 0.00635(0.00000), 0.00818(0.00000), 0.18211(0.00000), 0.02617(0.00000), 0.00056(0.00000)
