dataset, lr, local_loss, local_binary_accuracy, central_loss, central_binary_accuracy
semantic140, 0.005, 0.5878795845806601, 0.6680862909555433, 0.5115578174591064, 0.7387698888778687
semantic140, 0.01, 0.6001056645065549, 0.6527557358145714, 0.4695596992969513, 0.7629578709602356
semantic140, 0.05, 0.5992657615989451, 0.6647854340076449, 0.496355265378952, 0.7436074614524841
semantic140, 0.1, 0.5929132202826441, 0.7246157005429263, 0.5024381279945374, 0.7408431172370911
semantic140, 0.5, 0.5484405809019303, 0.7396565207839014, 0.45992550253868103, 0.7719419598579407
semantic140, 1.0, 0.648270250158063, 0.7139280942082408, 0.48154520988464355, 0.7705597877502441
semantic140, 1e-04, 0.6547030320763594, 0.6211129020899534, 0.5264529585838318, 0.7366966009140015
semantic140, 0.0005, 0.614550071954727, 0.6936094246804717, 0.4861602783203125, 0.7705597877502441
semantic140, 0.001, 0.6064451166987421, 0.7198427638411524, 0.5038560032844543, 0.7394609451293945
semantic140, 0.005, 0.6070156512036919, 0.6618537783622743, 0.5044581890106201, 0.7477539777755737
semantic140, 0.01, 0.612254321826622, 0.6322224541753532, 0.47601407766342163, 0.7719419598579407
semantic140, 0.05, 0.6106952181644738, 0.6564466424286364, 0.4938870668411255, 0.7567380666732788
semantic140, 0.1, 0.6075253677368165, 0.7088443878293037, 0.47385403513908386, 0.7781617045402527
semantic140, 0.5, 0.5990962691157937, 0.7137149229645731, 0.47149139642715454, 0.7691776156425476
semantic140, 1.0, 0.6252073116041721, 0.715944112092257, 0.4778635501861572, 0.7698686718940735
semantic140, 1e-04, 0.633863090872765, 0.6342447760701182, 0.5114795565605164, 0.7415342330932617
semantic140, 0.0005, 0.6217332372069362, 0.7125899919867518, 0.49669981002807617, 0.765031099319458
semantic140, 0.001, 0.6114125210046771, 0.7176548370718957, 0.4885827898979187, 0.7574291825294495
semantic140, 0.005, 0.6064349095523355, 0.665920665562153, 0.4864642024040222, 0.765031099319458
semantic140, 0.01, 0.6399785278737545, 0.6205757193267348, 0.4839410185813904, 0.7664132714271545
semantic140, 0.05, 0.6154747258685529, 0.6501128567755226, 0.47948017716407776, 0.7760884761810303
semantic140, 0.1, 0.5931295431032779, 0.720551167279482, 0.4902612566947937, 0.7505183219909668
semantic140, 0.5, 0.5691797322267665, 0.7169348485767844, 0.45648840069770813, 0.7836903929710388
semantic140, 1.0, 0.6103031534980986, 0.7138961420953275, 0.46662282943725586, 0.7705597877502441
semantic140, 0.5, 0.5655482448934344, 0.7205617043375973, 0.47598889470100403, 0.7629578709602356
semantic140, 0.5, 0.5901997554683427, 0.7108543522655967, 0.489978551864624, 0.7484450340270996
semantic140, 0.5, 0.5788532102340835, 0.7394069728255273, 0.45111629366874695, 0.7836903929710388
semantic140, 0.5, 0.5886829571705312, 0.7255176043510435, 0.4566211700439453, 0.77125084400177
semantic140, 0.5, 0.5296393346134575, 0.7248967924714091, 0.46185028553009033, 0.7781617045402527
