dataset, lr, local_loss, local_accuracy, central_loss, central_accuracy
mnist, 0.0001, 0.543188431337476, 0.8549999976158141, 0.06055381894111633, 0.9816666841506958
mnist, 0.0005, 0.4104895325377585, 0.876999993920326, 0.058992959558963776, 0.9850000143051147
mnist, 0.001, 0.3929517576843501, 0.8796666604280471, 0.06160647049546242, 0.984333336353302
mnist, 0.005, 0.4191868771426378, 0.8753333240747452, 0.0606011264026165, 0.984666645526886
mnist, 0.01, 0.45552788905799385, 0.8703333252668379, 0.06009567156434059, 0.984666645526886
mnist, 0.05, 0.44962432176806055, 0.8846666610240933, 0.06321714073419571, 0.9860000014305115
mnist, 0.0001, 0.54104363784194, 0.8646666598320004, 0.05719931423664093, 0.984000027179718
mnist, 0.0001, 0.5603757928311826, 0.8603333258628847, 0.061279043555259705, 0.9826666712760925
mnist, 0.0005, 0.4192328592017293, 0.8723333257436752, 0.0619039349257946, 0.9823333621025085
